,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
0,Busselton,AU,1562543766,-33.64,115.35,53.01,53,79,14.67
1,Lavrentiya,RU,1562543818,65.58,-170.99,76.67,9,29,4.29
2,Saskylakh,RU,1562543819,71.97,114.09,55.34,96,67,6.15
3,Altagracia de Orituco,VE,1562543547,9.86,-66.38,69.38,78,99,2.44
4,Yellowknife,CA,1562543821,62.45,-114.38,50.0,90,87,17.22
5,Jamestown,AU,1562543727,-33.21,138.6,49.86,17,82,4.23
6,Kualakapuas,ID,1562543824,-3.01,114.39,73.57,97,85,3.98
7,Lebu,ET,1562543741,8.96,38.73,59.0,75,82,4.7
8,Bluff,AU,1562543826,-23.58,149.07,61.44,100,82,12.5
9,Kupang,ID,1562543828,-10.16,123.6,77.0,20,69,8.05
10,Albany,US,1562543829,42.65,-73.75,78.8,1,60,3.36
11,Mataura,NZ,1562543830,-46.19,168.86,43.0,100,85,14.0
12,Saint Stephen,US,1562543831,45.7,-94.27,84.2,1,42,4.7
13,Bredasdorp,ZA,1562543833,-34.53,20.04,61.0,31,71,10.29
14,Bernalda,IT,1562543834,40.41,16.69,82.99,5,47,9.17
15,Puerto Ayora,EC,1562543836,-0.74,-90.35,80.6,75,61,9.17
16,Butaritari,KI,1562543837,3.07,172.79,80.73,100,83,15.75
17,Arraial do Cabo,BR,1562543838,-22.97,-42.02,64.4,40,72,12.75
18,Lagoa,PT,1562543839,37.14,-8.45,66.99,0,77,9.17
19,Georgetown,GY,1562543838,6.8,-58.16,82.4,40,78,6.93
20,Codrington,AU,1562543842,-28.95,153.24,60.8,75,82,4.7
21,Faanui,PF,1562543843,-16.48,-151.75,79.06,81,84,14.56
22,East London,ZA,1562543820,-33.02,27.91,49.67,0,78,8.1
23,Honningsvag,NO,1562543846,70.98,25.97,47.74,100,74,3.96
24,Ushuaia,AR,1562543847,-54.81,-68.31,37.4,0,92,6.17
25,Torbay,CA,1562543563,47.66,-52.73,64.4,5,72,10.29
26,Rikitea,PF,1562543766,-23.12,-134.97,71.9,100,82,39.19
27,Radovitskiy,RU,1562543850,55.13,39.8,51.01,20,83,1.99
28,Turbat,PK,1562543852,26.0,63.05,79.13,34,85,2.64
29,Tuktoyaktuk,CA,1562543853,69.44,-133.03,44.6,75,81,9.17
30,Kysyl-Syr,RU,1562543854,63.9,122.77,71.66,21,72,5.48
31,Atuona,PF,1562543856,-9.8,-139.03,80.19,80,74,13.94
32,Narsaq,GL,1562543857,60.91,-46.05,62.6,81,21,38.03
33,Ilam,IR,1562543858,33.64,46.42,73.4,0,25,2.24
34,Anloga,GH,1562543860,5.79,0.9,78.8,75,88,14.99
35,Houlton,US,1562543861,46.13,-67.84,73.4,1,38,9.17
36,Iqaluit,CA,1562543862,63.75,-68.52,44.6,90,93,8.05
37,Fairbanks,US,1562543752,64.84,-147.72,75.99,40,44,3.36
38,Kewanee,US,1562543742,41.25,-89.92,82.4,40,65,4.7
39,Nikolskoye,RU,1562543866,59.7,30.79,53.6,0,81,4.47
40,Hampton,US,1562543867,32.88,-81.13,90.0,1,66,4.7
41,Terrace,CA,1562543868,54.52,-128.61,78.8,75,50,11.41
42,Flinders,AU,1562543870,-34.58,150.85,61.0,0,62,6.93
43,Hermanus,ZA,1562543764,-34.42,19.24,61.0,39,72,8.99
44,Waingapu,ID,1562543872,-9.65,120.26,72.65,27,75,14.65
45,Moussoro,TD,1562543874,13.64,16.49,90.87,72,44,10.67
46,Neiafu,TO,1562543875,-18.65,-173.98,80.6,75,78,6.93
47,Kodiak,US,1562543876,39.95,-94.76,87.8,1,21,5.93
48,New Norfolk,AU,1562543877,-42.78,147.06,48.99,75,87,8.05
49,Puerto Narino,CO,1562543879,-3.77,-70.38,69.8,90,88,2.24
50,Jumla,NP,1562543880,29.28,82.18,53.18,60,95,2.93
51,Tongzi,CN,1562543881,28.78,105.09,68.01,100,97,8.57
52,Yatou,CM,1562543883,3.63,9.81,77.28,100,85,19.48
53,Broken Hill,AU,1562543884,-31.97,141.45,48.2,14,87,9.17
54,Hualmay,PE,1562543885,-11.1,-77.61,63.17,0,87,9.86
55,Tasiilaq,GL,1562543886,65.61,-37.64,51.8,1,50,4.7
56,Castro,CL,1562543888,-42.48,-73.76,50.0,90,93,21.92
57,Yabelo,ET,1562543889,4.89,38.09,60.61,81,83,7.58
58,Tiksi,RU,1562543890,71.64,128.87,46.43,97,72,8.43
